team,year,class,status,gender,Sport
Chesapeake - AA,2023,3AS,QF,Boys,Football
Chesapeake - AA,2015,3AE,RS,Boys,Football
Chesapeake - AA,2017,3AE,RS,Boys,Football
Chesapeake - AA,2022,3AE,RR2,Boys,Football
Chesapeake - AA,2019,3AS,RR1,Boys,Football
Chesapeake - BC,1984,B,SF,Boys,Football
Chesapeake - BC,2021,3AE,SF,Boys,Football
Chesapeake - BC,1990,2A,QF,Boys,Football
Chesapeake - BC,1991,2A,QF,Boys,Football
Chesapeake - BC,1992,2A,QF,Boys,Football
Chesapeake - BC,2009,2AN,RR,Boys,Football
Chesapeake - BC,2011,2AN,RR,Boys,Football
Chesapeake - BC,2004,1AN,RS,Boys,Football
Chesapeake - BC,2007,1AN,RS,Boys,Football
Chesapeake - BC,2008,1AN,RS,Boys,Football
Chesapeake - BC,2017,1AN,RS,Boys,Football
Chesapeake - BC,2021,2A/1AN,RR1,Boys,Football
Chesapeake - BC,2022,2A/1AN,RR1,Boys,Football
Chesapeake - BC,2023,2A/1AN,RR1,Boys,Football
Chopticon,2000,3A,SF,Boys,Football
Chopticon,1991,2A,QF,Boys,Football
Chopticon,2007,3AS,RS,Boys,Football
Chopticon,2010,3AS,RS,Boys,Football
Chopticon,2011,3AS,RS,Boys,Football
Chopticon,2014,3AS,RS,Boys,Football
Chopticon,2017,3AS,RS,Boys,Football
Chopticon,2022,4A/3AE,RR2,Boys,Football
Winston Churchill,1976,AA,CH,Boys,Football
Winston Churchill,1977,AA,CH,Boys,Football
Winston Churchill,1982,AA,RU,Boys,Football
Winston Churchill,1985,AA,RU,Boys,Football
Winston Churchill,1988,4A,RU,Boys,Football
Winston Churchill,1993,4A,RU,Boys,Football
Winston Churchill,1995,3A,RU,Boys,Football
Winston Churchill,1974,AA,SF,Boys,Football
Winston Churchill,1975,AA,SF,Boys,Football
Winston Churchill,1984,AA,SF,Boys,Football
Winston Churchill,2023,4AW,SF,Boys,Football
Winston Churchill,2022,4AW,QF,Boys,Football
Winston Churchill,2004,4AW,RR,Boys,Football
Winston Churchill,2011,4AW,RR,Boys,Football
Winston Churchill,2012,4AW,RS,Boys,Football
Winston Churchill,2018,4AW,RS,Boys,Football
Winston Churchill,2021,4AW,RR2,Boys,Football
Baltimore City College,1996,2A,SF,Boys,Football
Baltimore City College,2001,2A,SF,Boys,Football
Baltimore City College,2005,3AN,SF,Boys,Football
Baltimore City College,2023,3AN,SF,Boys,Football
Baltimore City College,1993,3A,QF,Boys,Football
Baltimore City College,2002,2A,QF,Boys,Football
Baltimore City College,2021,3AS,QF,Boys,Football
Baltimore City College,2006,3AN,RR,Boys,Football
Baltimore City College,2010,2AN,RR,Boys,Football
Baltimore City College,2007,2AN,RS,Boys,Football
Baltimore City College,2013,3AE,RS,Boys,Football
Baltimore City College,2014,3AE,RS,Boys,Football
Baltimore City College,2019,3AN,RR1,Boys,Football
Clarksburg,2007,2AW,SF,Boys,Football
Clarksburg,2008,2AW,RS,Boys,Football
Clarksburg,2013,4AW,RS,Boys,Football
Clarksburg,2014,4AW,RS,Boys,Football
Clarksburg,2019,4AW,RR1,Boys,Football
Clarksburg,2021,4AW,RR1,Boys,Football
Clarksburg,2022,4AW,RR1,Boys,Football
Clarksburg,2023,4AW,RR1,Boys,Football
Clear Spring,2019,1AW,RR1,Boys,Football
Clear Spring,2022,1AW,RR1,Boys,Football
Clear Spring,2023,1AW,RR1,Boys,Football
