team, year, class, status, gender
Middletown, 1966, B, Finalist, Boys
Poolesville, 1966, C, Champion, Boys
Somerset, 1966, C, Finalist, Boys
Kenwood, 1967, AA, Champion, Boys
Dulaney, 1967, AA, Finalist, Boys
Atholton, 1967, A, Champion, Boys
Winston Churchill, 1967, A, Finalist, Boys
Linganore, 1967, B, Champion, Boys
Brunswick, 1967, B, Finalist, Boys
Somerset, 1967, C, Champion, Boys
Poolesville, 1967, C, Finalist, Boys
Dulaney, 1968, AA, Champion, Boys
Springbrook, 1968, AA, Finalist, Boys
Winston Churchill, 1968, A, Champion, Boys
Central-PG, 1968, A, Finalist, Boys
Hereford, 1968, B, Champion, Boys
Boonsboro, 1968, B, Finalist, Boys
Somerset, 1968, C, Champion, Boys
Woodson, 1968, C, Finalist, Boys
Bethesda-CC, 1969, AA, Champion, Boys
Walt Whitman, 1969, AA, Finalist, Boys
Central-PG, 1969, A, Champion, Boys
Surrattsville, 1969, A, Finalist, Boys
North Harford, 1969, B, Champion, Boys
Hereford, 1969, B, Finalist, Boys
Mt. Hebron, 1969, C, Champion, Boys
Middletown, 1969, C, Finalist, Boys
Walt Whitman, 1970, AA, Champion, Boys
Towson, 1970, AA, Finalist, Boys
Allegany, 1970, A, Champion, Boys
Gaithersburg, 1970, A, Finalist, Boys
Hereford, 1970, B, Champion, Boys
Francis Scott Key, 1970, B, Finalist, Boys
Middletown, 1970, C, Champion, Boys
Douglass-PG, 1970, C, Finalist, Boys
Bethesda-CC, 1971, AA, Champion, Boys
DuVal, 1971, AA, Finalist, Boys
Gaithersburg, 1971, A, Champion, Boys
Albert Einstein, 1971, A, Finalist, Boys
Hereford, 1971, B, Champion, Boys
Williamsport, 1971, B, Finalist, Boys
Wilde Lake, 1971, C, Champion, Boys
Middletown, 1971, C, Finalist, Boys
DuVal, 1972, AA, Champion, Boys
Northwestern-PG, 1972, AA, Finalist, Boys
North Hagerstown, 1972, A, Champion, Boys
Sparrows Point, 1972, A, Finalist, Boys
Williamsport, 1972, B, Champion, Boys
Charles W. Woodward, 1972, B, Finalist, Boys
Middletown, 1972, C, Champion, Boys
Beall, 1972, C, Finalist, Boys
Northwestern-PG, 1973, AA, Champion, Boys
Gaithersburg, 1973, AA, Finalist, Boys
Bethesda-CC, 1973, A, Champion, Boys
Col. Zadok Magruder, 1973, A, Finalist, Boys
Sparrows Point, 1973, B, Champion, Boys
Paint Branch, 1973, B, Finalist, Boys
Middletown, 1973, C, Champion, Boys
Oakland Mills, 1973, C, Finalist, Boys
Towson, 1974, AA, Champion, Boys
Walt Whitman, 1974, AA, Finalist, Boys
John F. Kennedy, 1974, A, Champion, Boys
Surrattsville, 1974, A, Finalist, Boys
Hereford, 1974, B, Champion, Boys
Paint Branch, 1974, B, Finalist, Boys
Beall, 1974, C, Champion, Boys
Oakland Mills, 1974, C, Finalist, Boys
Winston Churchill, 1975, AA, Champion, Boys
Springbrook, 1975, AA, Finalist, Boys
Richard Montgomery, 1975, A, Champion, Boys
Col. Zadok Magruder, 1975, A, Finalist, Boys
Williamsport, 1975, B, Champion, Boys
Hereford, 1975, B, Finalist, Boys
Oakland Mills, 1975, C, Champion, Boys
Beall, 1975, C, Finalist, Boys
Friendly, 1976, AA, Champion, Boys
Kenwood, 1976, AA, Finalist, Boys
Loch Raven, 1976, A, Champion, Boys
Westminster, 1976, A, Finalist, Boys
Hereford, 1976, B, Champion, Boys
Catoctin, 1976, B, Finalist, Boys
Middletown, 1976, C, Champion, Boys
