Year,Sport,Gender,School,Coach,Classification,Status,Final Score,Opponent Score,Opponent,Wins,Losses
2007,Lacrosse,Girls,Century,Rose Pentz,2A-1A,Champion,15.0,5.0,Glenelg,,
2008,Lacrosse,Girls,Severna Park,Carin Peterson,4A-3A,Champion,17.0,6.0,Winters Mill,,
2008,Lacrosse,Girls,Winters Mill,Courtney Vaughn,3A-2A,Champion,14.0,13.0,Glenelg,,
2008,Lacrosse,Girls,Glenelg,Ginger Kincaid,2A-1A,Champion,17.0,11.0,Winters Mill,,
2009,Lacrosse,Girls,Fallston,Michael McTeague,3A-2A,Champion,16.0,1.0,Century,,
2009,Lacrosse,Girls,Century,Rose Pentz,2A-1A,Champion,25.0,9.0,Fallston,,
2009,Lacrosse,Girls,Severna Park,Carin Peterson,4A-3A,Champion,7.0,5.0,Fallston,,
2010,Lacrosse,Girls,South River,Kim McNemar,4A-3A,Champion,12.0,10.0,Century,,
2010,Lacrosse,Girls,Century,Rose Pentz,3A-2A,Champion,14.0,7.0,Winters Mill,,
2010,Lacrosse,Girls,Winters Mill,Courtney Vaughn,2A-1A,Champion,19.0,8.0,Century,,
2011,Lacrosse,Girls,Winters Mill,Courtney Vaughn,2A-1A,Champion,13.0,2.0,Marriotts Ridge,,
2011,Lacrosse,Girls,Marriotts Ridge,Natalie Gaieski,3A-2A,Champion,8.0,4.0,Winters Mill,,
2011,Lacrosse,Girls,Severna Park,Carin Peterson,4A-3A,Champion,14.0,7.0,Marriotts Ridge,,
2012,Lacrosse,Girls,Fallston,Michael McTeague,2A-1A,Champion,12.0,8.0,Winters Mill,,
2012,Lacrosse,Girls,Century,Becky Groves,3A-2A,Champion,12.0,9.0,Fallston,,
2012,Lacrosse,Girls,Severna Park,Carin Peterson,4A-3A,Champion,13.0,6.0,Century,,
2013,Lacrosse,Girls,Broadneck,Karen Tengwall,4A-3A,Champion,21.0,5.0,Marriotts Ridge,,
2013,Lacrosse,Girls,Marriotts Ridge,Natalie Gaieski,3A-2A,Champion,15.0,5.0,Winters Mill,,
2013,Lacrosse,Girls,Winters Mill,Courtney Vaughn,2A-1A,Champion,8.0,7.0,Marriotts Ridge,,
2014,Lacrosse,Girls,Severna Park,Carin Peterson,4A-3A,Champion,15.0,5.0,Marriotts Ridge,,
2014,Lacrosse,Girls,Marriotts Ridge,Amanda Brady,3A-2A,Champion,18.0,5.0,Manchester Valley,,
2014,Lacrosse,Girls,Manchester Valley,Shelly Brezicki,2A-1A,Champion,13.0,10.0,Marriotts Ridge,,
2015,Lacrosse,Girls,Century,Becky Groves,3A-2A,Champion,10.0,7.0,Manchester Valley,,
2015,Lacrosse,Girls,Manchester Valley,Shelly Brezicki,2A-1A,Champion,16.0,5.0,Century,,
2015,Lacrosse,Girls,Severna Park,Kaitlyn Fuller,4A-3A,Champion,18.0,15.0,Century,,
2016,Lacrosse,Girls,Dulaney,Kristi Korrow,4A-3A,Champion,15.0,11.0,Glenelg,,
2016,Lacrosse,Girls,Manchester Valley,Shelly Brezicki,2A-1A,Champion,22.0,3.0,Glenelg,,
2016,Lacrosse,Girls,Glenelg,Ginger Kincaid,3A-2A,Champion,14.0,1.0,Manchester Valley,,
2017,Lacrosse,Girls,Glenelg,Nicole Trunzo,3A-2A,Champion,12.0,3.0,Bel Air,,
2017,Lacrosse,Girls,Bel Air,Kristen Barry,4A-3A,Champion,10.0,9.0,Glenelg,,
2017,Lacrosse,Girls,Century,Becky Groves,2A-1A,Champion,13.0,5.0,Glenelg,,
2018,Lacrosse,Girls,Patterson Mill,Kim Burgasser,1A,Champion,16.0,8.0,Glenelg,,
2018,Lacrosse,Girls,Glenelg,Nicole Trunzo,2A,Champion,6.0,5.0,Patterson Mill,,
2018,Lacrosse,Girls,Westminster,Jackie Stevens,3A,Champion,9.0,5.0,South River,,
2018,Lacrosse,Girls,South River,Caroline Cochran,4A,Champion,11.0,9.0,Westminster,,
2019,Lacrosse,Girls,Severna Park,Kaitlyn Hines,4A,Champion,10.0,5.0,Westminster,,
