f,YEAR,FINAL STANDING,GENDER,FINAL SCORE,COACH,CLASS,,,,,,,
DUNDALK,1968,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
DUNDALK,1969,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
DUNDALK,1970,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
DUNDALK,1971,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
DUVAL,1969,FINALIST,BOYS,NA,NA,NA,,,,,,,
DUVAL,1970,CHAMPION,BOYS,68-65 OT,BOB TUCKER,AA,,,,,,,
DUVAL,1975,FINALIST,BOYS,NA,NA,NA,,,,,,,
DUVAL,1977,CHAMPION,GIRLS,55-52,SANDRA SPRINKLE,AA,,,,,,,
DUVAL,1980,CHAMPION,GIRLS,68-55,SANDRA SPRINKLE,AA,,,,,,,
DUVAL,1982,CHAMPION,GIRLS,62-47,SANDRA SPRINKLE,A,,,,,,,
DUVAL,1991,CHAMPION,BOYS,85-66,"ARTIE WALKER, SR.",A,,,,,,,
DUVAL,1991,CHAMPION,GIRLS,60-42,WALTER CLARK,3A,,,,,,,
DUVAL,1992,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
DUVAL,1994,CHAMPION,BOYS,60-58,"ARTIE WALKER, SR.",A,,,,,,,
DUVAL,1994,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
DUVAL,1999,CHAMPION,GIRLS,NA,NA,NA,,,,,,,
DUVAL,2000,CHAMPION,GIRLS,NA,NA,NA,,,,,,,
DUVAL,2002,CHAMPION,GIRLS,56-46,WALTER CLARK,2A,,,,,,,
DUVAL,2003,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
DUVAL,2015,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
EASTERN TECHNICAL,2002,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
EASTERN TECHNICAL,2005,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
EASTON,1947,FINALIST,BOYS,NA,NA,NA,,,,,,,
EASTON,1947,CHAMPION,GIRLS,16-15,MARY BROOKS,C,,,,,,,
EASTON,1948,FINALIST,GIRLS,NA,NA,D(Segregated),,,,,,,
EASTON,1948,FINALIST,BOYS,NA,NA,D (Segregated),,,,,,,
EASTON,1949,CHAMPION,GIRLS,36-22,NA,C,,,,,,,
EASTON,1952,FINALIST,BOYS,NA,NA,NA,,,,,,,
EASTON,1953,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
EASTON,1954,FINALIST,BOYS,NA,NA,NA,,,,,,,
EASTON,1960,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
EASTON,1965,FINALIST,BOYS,NA,NA,NA,,,,,,,
EASTON,1968,CHAMPION,BOYS,75-62,GARY SHAFFER,B,,,,,,,
EASTON,1988,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
EASTON,1993,CHAMPION,GIRLS,51-42,TOM CALLAHAN,1A,,,,,,,
EASTON,1994,CHAMPION,GIRLS,66-50,TOM CALLAHAN,1A,,,,,,,
EASTON,2010,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
EASTON,2011,FINALIST,BOYS,NA,NA,NA,,,,,,,
EASTON,2012,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
EASTON,2020,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
EDGEWOOD,1966,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
EDGEWOOD,1974,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
EDGEWOOD,1975,CHAMPION,BOYS,52-50,PAUL MEZGER,B,,,,,,,
EDGEWOOD,1976,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
EDGEWOOD,1977,FINALIST,BOYS,NA,NA,NA,,,,,,,
EDGEWOOD,1991,FINALIST,BOYS,NA,NA,NA,,,,,,,
EDGEWOOD,1993,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
EDGEWOOD,1994,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
EDGEWOOD,1995,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
EDGEWOOD,1997,CHAMPION,BOYS,60-51,BOB SLAGLE,C,,,,,,,
EDGEWOOD,1998,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
EDGEWOOD,1999,FINALIST,BOYS,NA,NA,NA,,,,,,,
EDMONDSON/WESTSIDE,2000,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
EDMONDSON/WESTSIDE,2013,CHAMPION,BOYS,56-54,DARNELL DANTZLER,2A,,,,,,,
EDMONDSON/WESTSIDE,2014,CHAMPION,BOYS,54-51,DARNELL DANTZLER,1A,,,,,,,
EDMONDSON/WESTSIDE,2017,FINALIST,BOYS,NA,NA,NA,,,,,,,
EDMONDSON/WESTSIDE,2020,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
EDMONDSON/WESTSIDE,2022,FINALIST,BOYS,NA,NA,NA,,,,,,,
EDMONDSON/WESTSIDE,2023,CHAMPION,BOYS,56-48,DARNELL DANTZLER,1A,,,,,,,
EDMONDSON/WESTSIDE,2024,CHAMPION,BOYS,69-65,DARNELL DANTZLER,1A,,,,,,,
ELEANOR ROOSEVELT,1980,FINALIST,GIRLS,NA,NA,NA,,,,,,,
ELEANOR ROOSEVELT,1985,FINALIST,GIRLS,NA,NA,NA,,,,,,,
ELEANOR ROOSEVELT,1987,FINALIST,GIRLS,NA,NA,NA,,,,,,,
ELEANOR ROOSEVELT,2001,FINALIST,BOYS,NA,NA,NA,,,,,,,
ELEANOR ROOSEVELT,2002,CHAMPION,BOYS,50-45,GLENN FARELLO,4A,,,,,,,
ELEANOR ROOSEVELT,2005,CHAMPION,GIRLS,54-37,RODERICK HAIRSTON,4A,,,,,,,
ELEANOR ROOSEVELT,2006,FINALIST,BOYS,NA,NA,NA,,,,,,,
ELEANOR ROOSEVELT,2006,CHAMPION,GIRLS,53-45,RODERICK HAIRSTON,4A,,,,,,,
ELEANOR ROOSEVELT,2007,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
ELEANOR ROOSEVELT,2007,CHAMPION,GIRLS,52-32,RODERICK HAIRSTON,4A,,,,,,,
ELEANOR ROOSEVELT,2008,CHAMPION,GIRLS,52-50,RODERICK HAIRSTON,4A,,,,,,,
ELEANOR ROOSEVELT,2009,CHAMPION,GIRLS,67-39,RODERICK HAIRSTON,4A,,,,,,,
ELEANOR ROOSEVELT,2010,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
ELEANOR ROOSEVELT,2011,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
ELEANOR ROOSEVELT,2012,FINALIST,BOYS,NA,NA,NA,,,,,,,
ELEANOR ROOSEVELT,2013,CHAMPION,BOYS,61-56,BRENDAN O'CONNELL,4A,,,,,,,
ELEANOR ROOSEVELT,2013,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
ELEANOR ROOSEVELT,2014,CHAMPION,GIRLS,64-30,DELTON FULLER,4A,,,,,,,
ELEANOR ROOSEVELT,2015,CHAMPION,GIRLS,70-42,DELTON FULLER,4A,,,,,,,
ELEANOR ROOSEVELT,2016,CHAMPION,BOYS,72-39,BRENDAN O'CONNELL,4A,,,,,,,
ELEANOR ROOSEVELT,2017,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
ELEANOR ROOSEVELT,2018,CHAMPION,GIRLS,60-56,DELTON FULLER,4A,,,,,,,
ELEANOR ROOSEVELT,2019,CHAMPION,BOYS,77-48,BRENDAN O'CONNELL,4A,,,,,,,
ELEANOR ROOSEVELT,2022,CHAMPION,BOYS,54-49 2OT,BRENDAN O'CONNELL,4A,,,,,,,
ELKTON,1948,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
ELKTON,1949,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
ELKTON,1950,FINALIST,BOYS,NA,NA,NA,,,,,,,
ELKTON,1953,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
ELKTON,1980,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
ELKTON,1981,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
ELKTON,1990,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
ELKTON,2004,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
ELKTON,2011,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
ELMER WOLFE,1953,FINALIST,BOYS,NA,NA,NA,,,,,,,
ELMER WOLFE,1959,FINALIST,BOYS,NA,NA,NA,,,,,,,
EMMITSBURG,1962,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
