SCHOOL,YEAR,FINAL STANDING,GENDER,FINAL SCORE,COACH,CLASS
HAMMOND,1996,FINALIST,GIRLS,NA,NA,NA
HAVRE DE GRACE,1996,FINALIST,GIRLS,NA,NA,NA
HAVRE DE GRACE,1996,SEMIFINALIST,BOYS,NA,NA,NA
HOWARD,1996,SEMIFINALIST,GIRLS,NA,NA,NA
JOHN F. KENNEDY,1996,FINALIST,BOYS,NA,NA,NA
MIDDLETOWN,1996,SEMIFINALIST,BOYS,NA,NA,NA
NORTH CAROLINE,1996,SEMIFINALIST,GIRLS,NA,NA,NA
NORTHWESTERN (PG),1996,FINALIST,BOYS,NA,NA,NA
PAINT BRANCH,1996,SEMIFINALIST,BOYS,NA,NA,NA
PAUL LAURENCE DUNBAR,1996,CHAMPION,BOYS,NA,NA,NA
PERRY HALL,1996,SEMIFINALIST,GIRLS,NA,NA,NA
RANDALLSTOWN,1996,SEMIFINALIST,BOYS,NA,NA,NA
RICHARD MONTGOMERY,1996,CHAMPION,GIRLS,NA,NA,NA
SHERWOOD,1996,FINALIST,GIRLS,NA,NA,NA
SOUTHERN (AA),1996,SEMIFINALIST,BOYS,NA,NA,NA
SOUTHERN (B),1996,CHAMPION,BOYS,NA,NA,NA
WASHINGTON,1996,SEMIFINALIST,GIRLS,NA,NA,NA
WESTMAR,1996,FINALIST,GIRLS,NA,NA,NA
WILLIAMSPORT,1996,FINALIST,BOYS,NA,NA,NA
SOUTHERN-B,1996,CHAMPION,BOYS,64-41,Meredith Smith,AA
DUNBAR,1996,CHAMPION,BOYS,66-60,Paul Smith,A
CENTRAL-PG,1996,CHAMPION,BOYS,82-64,Walter Fulton,B
FRANCIS SCOTT KEY,1997,CHAMPION,GIRLS,53-23,Alice Smith,1A
EDGEWOOD,1997,CHAMPION,BOYS,60-51,Bob Slagle,C
SURRATTSVILLE,1997,CHAMPION,BOYS,72-45,Jim Butler,B
ANNAPOLIS,1997,SEMIFINALIST,GIRLS,NA,NA,NA
CALVERT,1997,CHAMPION,BOYS,NA,NA,NA
CENTENNIAL,1997,FINALIST,GIRLS,NA,NA,NA
CITY COLLEGE,1997,SEMIFINALIST,BOYS,NA,NA,NA
CRISFIELD,1997,SEMIFINALIST,BOYS,NA,NA,NA
CROSSLAND,1997,SEMIFINALIST,BOYS,NA,NA,NA
FALLSTON,1997,SEMIFINALIST,GIRLS,NA,NA,NA
FRIENDLY,1997,SEMIFINALIST,GIRLS,NA,NA,NA
HEREFORD,1997,SEMIFINALIST,GIRLS,NA,NA,NA
LINGANORE,1997,CHAMPION,GIRLS,NA,NA,NA
LONG REACH,1997,FINALIST,BOYS,NA,NA,NA
MARDELA,1997,SEMIFINALIST,GIRLS,NA,NA,NA
MILFORD MILL,1997,FINALIST,BOYS,NA,NA,NA
MONTGOMERY BLAIR,1997,FINALIST,GIRLS,NA,NA,NA
NORTHERN (G),1997,FINALIST,GIRLS,NA,NA,NA
PAINT BRANCH,1997,SEMIFINALIST,BOYS,NA,NA,NA
PARKDALE,1997,FINALIST,BOYS,NA,NA,NA
PAUL LAURENCE DUNBAR,1997,FINALIST,BOYS,NA,NA,NA
RANDALLSTOWN,1997,SEMIFINALIST,BOYS,NA,NA,NA
RISING SUN,1997,SEMIFINALIST,GIRLS,NA,NA,NA
SOUTHERN (AA),1997,FINALIST,GIRLS,NA,NA,NA
TOWSON,1997,SEMIFINALIST,GIRLS,NA,NA,NA
WESTERN (B),1997,SEMIFINALIST,GIRLS,NA,NA,NA
WESTMAR,1997,SEMIFINALIST,BOYS,NA,NA,NA
WHEATON,1997,SEMIFINALIST,BOYS,NA,NA,NA
WILDE LAKE,1997,SEMIFINALIST,GIRLS,NA,NA,NA
LARGO,1997,CHAMPION,GIRLS,66-41,Robert Blair,4A
SOUTHWESTERN,1997,CHAMPION,BOYS,81-75 OT,Terry Leverett,AA
WHEATON,1997,CHAMPION,GIRLS,59-47,Walt Dupee,2A
THOMAS JOHNSON,1997,CHAMPION,BOYS,82-51,Tom Dickman,A
TOWSON,1998,CHAMPION,GIRLS,48-37,Beverly Snyder,2A
FOREST PARK,1998,CHAMPION,BOYS,45-43,Gregory Warren,C
FRIENDLY,1998,CHAMPION,BOYS,55-46,Jim Griffin,A
ABERDEEN,1998,SEMIFINALIST,BOYS,NA,NA,NA
ANNAPOLIS,1998,SEMIFINALIST,BOYS,NA,NA,NA
ARUNDEL,1998,FINALIST,GIRLS,NA,NA,NA
BRUNSWICK,1998,SEMIFINALIST,BOYS,NA,NA,NA
CENTRAL (PG),1998,FINALIST,BOYS,NA,NA,NA
EDGEWOOD,1998,SEMIFINALIST,BOYS,NA,NA,NA
GOV. THOMAS JOHNSON,1998,SEMIFINALIST,BOYS,NA,NA,NA
HAVRE DE GRACE,1998,SEMIFINALIST,GIRLS,NA,NA,NA
MERGENTHALER,1998,SEMIFINALIST,BOYS,NA,NA,NA
MIDDLETOWN,1998,FINALIST,GIRLS,NA,NA,NA
MIDDLETOWN,1998,SEMIFINALIST,BOYS,NA,NA,NA
MILFORD MILL,1998,FINALIST,GIRLS,NA,NA,NA
OXON HILL,1998,FINALIST,BOYS,NA,NA,NA
PAINT BRANCH,1998,SEMIFINALIST,GIRLS,NA,NA,NA
PAUL LAURENCE DUNBAR,1998,CHAMPION,BOYS,NA,NA,NA
POCOMOKE,1998,FINALIST,BOYS,NA,NA,NA
POTOMAC,1998,SEMIFINALIST,GIRLS,NA,NA,NA
RISING SUN,1998,SEMIFINALIST,GIRLS,NA,NA,NA
SOUTH HAGERSTOWN,1998,SEMIFINALIST,BOYS,NA,NA,NA
SOUTHERN (AA),1998,SEMIFINALIST,GIRLS,NA,NA,NA
WASHINGTON,1998,SEMIFINALIST,GIRLS,NA,NA,NA
WESTERN (B),1998,SEMIFINALIST,GIRLS,NA,NA,NA
WHEATON,1998,CHAMPION,GIRLS,NA,NA,NA
WILDE LAKE,1998,SEMIFINALIST,GIRLS,NA,NA,NA
WILLIAMSPORT,1998,FINALIST,GIRLS,NA,NA,NA
GAITHERSBURG,1998,CHAMPION,BOYS,96-91 OT,Paul Foringer,AA
SUITLAND,1998,CHAMPION,GIRLS,66-61,Stephany Nolan,4A
OAKLAND MILLS,1998,CHAMPION,GIRLS,38-31,Teresa Waters,1A
DUNBAR,1998,CHAMPION,BOYS,57-40,Lynn Badham,B
GLENELG,1999,CHAMPION,GIRLS,70-57,Ciaran Lesikar,1A
LAKE CLIFTON/EASTERN,1999,CHAMPION,BOYS,50-48,Herman Harried,AA
ABERDEEN,1999,SEMIFINALIST,BOYS,NA,NA,NA
ALBERT EINSTEIN,1999,SEMIFINALIST,BOYS,NA,NA,NA
ALLEGANY,1999,FINALIST,GIRLS,NA,NA,NA
CAMBRIDGE/SD,1999,SEMIFINALIST,GIRLS,NA,NA,NA
CENTRAL (PG),1999,SEMIFINALIST,BOYS,NA,NA,NA
CENTRAL (PG),1999,SEMIFINALIST,GIRLS,NA,NA,NA
CITY COLLEGE,1999,SEMIFINALIST,BOYS,NA,NA,NA
DUVAL,1999,CHAMPION,GIRLS,NA,NA,NA
EDGEWOOD,1999,FINALIST,BOYS,NA,NA,NA
FREDERICK,1999,SEMIFINALIST,GIRLS,NA,NA,NA
GWYNN PARK,1999,FINALIST,BOYS,NA,NA,NA
MEADE,1999,SEMIFINALIST,BOYS,NA,NA,NA
MILFORD MILL,1999,FINALIST,GIRLS,NA,NA,NA
NORTH DORCHESTER,1999,FINALIST,BOYS,NA,NA,NA
NORTH EAST (CECIL),1999,SEMIFINALIST,GIRLS,NA,NA,NA
NORTHERN (CAL.),1999,FINALIST,GIRLS,NA,NA,NA
OXON HILL,1999,FINALIST,BOYS,NA,NA,NA
PAUL LAURENCE DUNBAR,1999,CHAMPION,BOYS,NA,NA,NA
PIKESVILLE,1999,FINALIST,BOYS,NA,NA,NA
SHERWOOD,1999,SEMIFINALIST,BOYS,NA,NA,NA
SOUTH HAGERSTOWN,1999,SEMIFINALIST,BOYS,NA,NA,NA
URBANA,1999,FINALIST,GIRLS,NA,NA,NA
WESTERN (B),1999,FINALIST,GIRLS,NA,NA,NA
WHEATON,1999,SEMIFINALIST,GIRLS,NA,NA,NA
SUITLAND,1999,CHAMPION,GIRLS,53-28,Stephany Nolan,4A
PARKSIDE,1999,CHAMPION,GIRLS,60-59,Warren White,2A
THOMAS JOHNSON,1999,CHAMPION,BOYS,64-62,Tom Dickman,A
DUNBAR,1999,CHAMPION,BOYS,79-43,Lynn Badham,B
NORTH DORCHESTER,1999,CHAMPION,BOYS,73-42,Vic Burns,C
OXON HILL,2000,CHAMPION,BOYS,60-42,Billy Lanier,AA
ARUNDEL,2000,CHAMPION,GIRLS,61-55,Lee Rogers,4A
ANNAPOLIS,2000,SEMIFINALIST,BOYS,NA,NA,NA
BRUNSWICK,2000,SEMIFINALIST,BOYS,NA,NA,NA
DUVAL,2000,CHAMPION,GIRLS,NA,NA,NA
EDMONDSON/WESTSIDE,2000,SEMIFINALIST,BOYS,NA,NA,NA
FORT HILL,2000,SEMIFINALIST,BOYS,NA,NA,NA
FREDERICK,2000,SEMIFINALIST,GIRLS,NA,NA,NA
GLENELG,2000,FINALIST,GIRLS,NA,NA,NA
GWYNN PARK,2000,FINALIST,BOYS,NA,NA,NA
GWYNN PARK,2000,SEMIFINALIST,GIRLS,NA,NA,NA
LINGANORE,2000,FINALIST,GIRLS,NA,NA,NA
MEADE,2000,SEMIFINALIST,BOYS,NA,NA,NA
MILFORD MILL,2000,FINALIST,GIRLS,NA,NA,NA
NORTHERN (CAL.),2000,SEMIFINALIST,BOYS,NA,NA,NA
OXON HILL,2000,CHAMPION,GIRLS,NA,NA,NA
PAINT BRANCH,2000,SEMIFINALIST,GIRLS,NA,NA,NA
PARKSIDE,2000,SEMIFINALIST,GIRLS,NA,NA,NA
PIKESVILLE,2000,FINALIST,BOYS,NA,NA,NA
POCOMOKE,2000,SEMIFINALIST,GIRLS,NA,NA,NA
QUINCE ORCHARD,2000,FINALIST,BOYS,NA,NA,NA
RANDALLSTOWN,2000,FINALIST,BOYS,NA,NA,NA
RISING SUN,2000,SEMIFINALIST,GIRLS,NA,NA,NA
SOUTHERN (B),2000,SEMIFINALIST,BOYS,NA,NA,NA
THOMAS STONE,2000,SEMIFINALIST,GIRLS,NA,NA,NA
WESTERN (B),2000,SEMIFINALIST,GIRLS,NA,NA,NA
WILLIAMSPORT,2000,SEMIFINALIST,BOYS,NA,NA,NA
CRISFIELD,2000,CHAMPION,BOYS,42-37,Phillip Rayfield,C
ABERDEEN,2000,CHAMPION,BOYS,50-48,Richard Hart,B
ALLEGANY,2000,CHAMPION,GIRLS,45-36,Scott Bauer,1A
PAINT BRANCH,2000,CHAMPION,BOYS,67-50,Walter Hardy,A
DUNBAR,2000,CHAMPION,GIRLS,53-36,Wardell Selby,2A
SNOW HILL,2001,CHAMPION,BOYS,69-60,Allen Miller,1A
GLENELG,2001,CHAMPION,GIRLS,45-42,Ciaran Lesikar,1A
RANDALLSTOWN,2001,CHAMPION,BOYS,62-54,Kim Rivers,3A
ARUNDEL,2001,SEMIFINALIST,BOYS,NA,NA,NA
ARUNDEL,2001,SEMIFINALIST,GIRLS,NA,NA,NA
BLADENSBURG,2001,SEMIFINALIST,GIRLS,NA,NA,NA
BOHEMIA MANOR,2001,SEMIFINALIST,GIRLS,NA,NA,NA
COL. ZADOK MAGRUDER,2001,CHAMPION,BOYS,NA,NA,NA
CROSSLAND,2001,SEMIFINALIST,BOYS,NA,NA,NA
ELEANOR ROOSEVELT,2001,FINALIST,BOYS,NA,NA,NA
FAIRMONT HEIGHTS,2001,SEMIFINALIST,BOYS,NA,NA,NA
FAIRMONT HEIGHTS,2001,SEMIFINALIST,GIRLS,NA,NA,NA
FORT HILL,2001,SEMIFINALIST,BOYS,NA,NA,NA
GOV. THOMAS JOHNSON,2001,FINALIST,BOYS,NA,NA,NA
LA PLATA,2001,FINALIST,GIRLS,NA,NA,NA
LAKE CLIFTON/EASTERN,2001,SEMIFINALIST,BOYS,NA,NA,NA
MILFORD MILL,2001,FINALIST,GIRLS,NA,NA,NA
NORTH DORCHESTER,2001,SEMIFINALIST,GIRLS,NA,NA,NA
OAKLAND MILLS,2001,FINALIST,BOYS,NA,NA,NA
PAINT BRANCH,2001,CHAMPION,GIRLS,NA,NA,NA
PAUL LAURENCE DUNBAR,2001,CHAMPION,BOYS,NA,NA,NA
SOUTHERN (G),2001,FINALIST,GIRLS,NA,NA,NA
SOUTHERN (G),2001,SEMIFINALIST,BOYS,NA,NA,NA
STEPHEN DECATUR,2001,SEMIFINALIST,GIRLS,NA,NA,NA
URBANA,2001,FINALIST,GIRLS,NA,NA,NA
WESTERN (B),2001,SEMIFINALIST,GIRLS,NA,NA,NA
WESTLAKE,2001,SEMIFINALIST,BOYS,NA,NA,NA
WESTLAKE,2001,SEMIFINALIST,GIRLS,NA,NA,NA
WICOMICO,2001,FINALIST,BOYS,NA,NA,NA
WINSTON CHURCHILL,2001,FINALIST,GIRLS,NA,NA,NA
SUITLAND,2001,CHAMPION,GIRLS,61-57,Stephany Nolan,4A
DUNBAR,2001,CHAMPION,GIRLS,63-36,Wardell Selby,2A
MAGRUDER,2001,CHAMPION,BOYS,70-58,Dan Harwood,4A
DUNBAR,2001,CHAMPION,BOYS,45-43,Eric Lee,2A
WICOMICO,2002,CHAMPION,BOYS,72-50,Butch Waller,2A
POCOMOKE,2002,CHAMPION,BOYS,88-70,David Byrd,1A
ELEANOR ROOSEVELT,2002,CHAMPION,BOYS,50-45,Glenn Farello,4A
ABERDEEN,2002,SEMIFINALIST,GIRLS,NA,NA,NA
BOHEMIA MANOR,2002,SEMIFINALIST,GIRLS,NA,NA,NA
CENTRAL (PG),2002,FINALIST,BOYS,NA,NA,NA
CHESAPEAKE (AA),2002,SEMIFINALIST,GIRLS,NA,NA,NA
CHESAPEAKE (BC),2002,SEMIFINALIST,BOYS,NA,NA,NA
CHOPTICON,2002,SEMIFINALIST,BOYS,NA,NA,NA
COL. ZADOK MAGRUDER,2002,SEMIFINALIST,BOYS,NA,NA,NA
EASTERN TECHNICAL,2002,SEMIFINALIST,BOYS,NA,NA,NA
FREDERICK DOUGLASS (B),2002,CHAMPION,BOYS,NA,NA,NA
GOV. THOMAS JOHNSON,2002,FINALIST,BOYS,NA,NA,NA
GWYNN PARK,2002,CHAMPION,GIRLS,NA,NA,NA
GWYNN PARK,2002,FINALIST,BOYS,NA,NA,NA
HAMMOND,2002,FINALIST,GIRLS,NA,NA,NA
HEREFORD,2002,SEMIFINALIST,GIRLS,NA,NA,NA
JOPPATOWNE,2002,SEMIFINALIST,GIRLS,NA,NA,NA
MARDELA,2002,SEMIFINALIST,GIRLS,NA,NA,NA
MERGENTHALER,2002,SEMIFINALIST,BOYS,NA,NA,NA
MILFORD MILL,2002,FINALIST,GIRLS,NA,NA,NA
NORTH HAGERSTOWN,2002,SEMIFINALIST,BOYS,NA,NA,NA
OXON HILL,2002,CHAMPION,GIRLS,NA,NA,NA
PAUL LAURENCE DUNBAR,2002,FINALIST,BOYS,NA,NA,NA
SMITHSBURG,2002,FINALIST,GIRLS,NA,NA,NA
SOUTH CARROLL,2002,SEMIFINALIST,BOYS,NA,NA,NA
SOUTH HAGERSTOWN,2002,SEMIFINALIST,BOYS,NA,NA,NA
URBANA,2002,SEMIFINALIST,GIRLS,NA,NA,NA
WESTLAKE,2002,SEMIFINALIST,GIRLS,NA,NA,NA
WINSTON CHURCHILL,2002,CHAMPION,GIRLS,NA,NA,NA
WOODLAWN,2002,SEMIFINALIST,GIRLS,NA,NA,NA
DUVAL,2002,CHAMPION,GIRLS,56-46,Walter Clark,2A
DUNBAR,2002,CHAMPION,GIRLS,62-46,Wardell Selby,1A
WINSTON CHURCHILL,2002,CHAMPION,GIRLS,68-49,Pat Fisher,4A
DOUGLASS-B,2002,CHAMPION,BOYS,76-72,Rodney Coffield,3A
OXON HILL,2003,CHAMPION,BOYS,50-40,Billy Lanier,4A
JAMES M. BENNETT,2003,CHAMPION,BOYS,56-52,Bruce Wharton,2A
FRIENDLY,2003,CHAMPION,BOYS,66-57,"Gerald Moore, Jr.",3A
WALKERSVILLE,2003,CHAMPION,GIRLS,40-32,Mike Mathis,2A
ABERDEEN,2003,SEMIFINALIST,GIRLS,NA,NA,NA
ARUNDEL,2003,SEMIFINALIST,GIRLS,NA,NA,NA
CENTRAL (PG),2003,FINALIST,BOYS,NA,NA,NA
CHOPTICON,2003,FINALIST,BOYS,NA,NA,NA
COL. ZADOK MAGRUDER,2003,FINALIST,BOYS,NA,NA,NA
DUVAL,2003,SEMIFINALIST,GIRLS,NA,NA,NA
FORT HILL,2003,SEMIFINALIST,BOYS,NA,NA,NA
GLEN BURNIE,2003,SEMIFINALIST,BOYS,NA,NA,NA
GWYNN PARK,2003,CHAMPION,GIRLS,NA,NA,NA
HAVRE DE GRACE,2003,SEMIFINALIST,BOYS,NA,NA,NA
JAMES HUBERT BLAKE,2003,SEMIFINALIST,BOYS,NA,NA,NA
JOPPATOWNE,2003,SEMIFINALIST,GIRLS,NA,NA,NA
LAKE CLIFTON/EASTERN,2003,SEMIFINALIST,BOYS,NA,NA,NA
MILFORD MILL,2003,FINALIST,GIRLS,NA,NA,NA
OXON HILL,2003,SEMIFINALIST,GIRLS,NA,NA,NA
PATUXENT,2003,SEMIFINALIST,GIRLS,NA,NA,NA
PAUL LAURENCE DUNBAR,2003,CHAMPION,BOYS,NA,NA,NA
POCOMOKE,2003,FINALIST,BOYS,NA,NA,NA
POCOMOKE,2003,FINALIST,GIRLS,NA,NA,NA
RANDALLSTOWN,2003,SEMIFINALIST,BOYS,NA,NA,NA
SMITHSBURG,2003,SEMIFINALIST,GIRLS,NA,NA,NA
SOUTH HAGERSTOWN,2003,SEMIFINALIST,BOYS,NA,NA,NA
SOUTHERN (B),2003,SEMIFINALIST,BOYS,NA,NA,NA
URBANA,2003,SEMIFINALIST,GIRLS,NA,NA,NA
WINSTON CHURCHILL,2003,CHAMPION,GIRLS,NA,NA,NA
WOODLAWN,2003,FINALIST,GIRLS,NA,NA,NA
DUNBAR,2003,CHAMPION,GIRLS,53-48,Wardell Selby,1A
WINSTON CHURCHILL,2003,CHAMPION,GIRLS,62-38,Pat Fisher,4A
DUNBAR,2003,CHAMPION,BOYS,72-55,Eric Lee,1A
FRIENDLY,2004,CHAMPION,BOYS,84-58,"Gerald Moore, Jr.",2A
ARUNDEL,2004,CHAMPION,GIRLS,87-64,Lee Rogers,4A
POTOMAC,2004,CHAMPION,GIRLS,62-37,Michael Strother,2A
ALLEGANY,2004,FINALIST,BOYS,NA,NA,NA
CAMBRIDGE/SD,2004,SEMIFINALIST,BOYS,NA,NA,NA
CITY COLLEGE,2004,SEMIFINALIST,GIRLS,NA,NA,NA
DAMASCUS,2004,SEMIFINALIST,GIRLS,NA,NA,NA
ELKTON,2004,SEMIFINALIST,BOYS,NA,NA,NA
FREDERICK DOUGLASS (B),2004,CHAMPION,BOYS,NA,NA,NA
GLEN BURNIE,2004,SEMIFINALIST,BOYS,NA,NA,NA
GWYNN PARK,2004,CHAMPION,GIRLS,NA,NA,NA
GWYNN PARK,2004,FINALIST,BOYS,NA,NA,NA
JAMES M. BENNETT,2004,SEMIFINALIST,BOYS,NA,NA,NA
LANSDOWNE,2004,FINALIST,BOYS,NA,NA,NA
LINGANORE,2004,SEMIFINALIST,BOYS,NA,NA,NA
MCDONOUGH,2004,FINALIST,BOYS,NA,NA,NA
OXON HILL,2004,SEMIFINALIST,GIRLS,NA,NA,NA
PAINT BRANCH,2004,FINALIST,GIRLS,NA,NA,NA
PAUL LAURENCE DUNBAR,2004,CHAMPION,BOYS,NA,NA,NA
POCOMOKE,2004,SEMIFINALIST,GIRLS,NA,NA,NA
SOUTH HAGERSTOWN,2004,SEMIFINALIST,BOYS,NA,NA,NA
SOUTHERN (G),2004,CHAMPION,GIRLS,NA,NA,NA
SOUTHSIDE ACADEMY,2004,FINALIST,GIRLS,NA,NA,NA
SPRINGBROOK,2004,FINALIST,BOYS,NA,NA,NA
STEPHEN DECATUR,2004,SEMIFINALIST,GIRLS,NA,NA,NA
WALKERSVILLE,2004,CHAMPION,GIRLS,NA,NA,NA
WESTERN (B),2004,SEMIFINALIST,GIRLS,NA,NA,NA
WESTLAKE,2004,SEMIFINALIST,GIRLS,NA,NA,NA
WOODLAWN,2004,FINALIST,GIRLS,NA,NA,NA
WOODLAWN,2004,SEMIFINALIST,BOYS,NA,NA,NA
SOUTHERN GARRETT,2004,CHAMPION,GIRLS,41-31,Don Stemple,1A
NORTHWESTERN-PG,2004,CHAMPION,BOYS,61-59,Anthony Dickens,4A
DOUGLASS-B,2004,CHAMPION,BOYS,66-65,Rodney Coffield,3A
DUNBAR,2004,CHAMPION,BOYS,68-43,Eric Lee,1A
WALBROOK,2005,CHAMPION,BOYS,45-38,Kelvin Bridgers,4A
RANDALLSTOWN,2005,CHAMPION,BOYS,78-76 OT,Kim Rivers,3A
POTOMAC,2005,CHAMPION,GIRLS,52-43,Michael Strother,2A
ABERDEEN,2005,FINALIST,BOYS,NA,NA,NA
ALLEGANY,2005,SEMIFINALIST,BOYS,NA,NA,NA
ANNAPOLIS,2005,SEMIFINALIST,BOYS,NA,NA,NA
BETHESDA-CHEVY CHASE,2005,FINALIST,BOYS,NA,NA,NA
CATOCTIN,2005,SEMIFINALIST,GIRLS,NA,NA,NA
CITY COLLEGE,2005,FINALIST,GIRLS,NA,NA,NA
CROSSLAND,2005,SEMIFINALIST,BOYS,NA,NA,NA
EASTERN TECHNICAL,2005,SEMIFINALIST,BOYS,NA,NA,NA
GOV. THOMAS JOHNSON,2005,SEMIFINALIST,GIRLS,NA,NA,NA
JAMES HUBERT BLAKE,2005,FINALIST,BOYS,NA,NA,NA
JOPPATOWNE,2005,SEMIFINALIST,BOYS,NA,NA,NA
LARGO,2005,SEMIFINALIST,BOYS,NA,NA,NA
MILFORD MILL,2005,CHAMPION,GIRLS,NA,NA,NA
NEW TOWN,2005,SEMIFINALIST,GIRLS,NA,NA,NA
OLD MILL,2005,FINALIST,BOYS,NA,NA,NA
PAINT BRANCH,2005,FINALIST,GIRLS,NA,NA,NA
PARKSIDE,2005,SEMIFINALIST,GIRLS,NA,NA,NA
PAUL LAURENCE DUNBAR,2005,CHAMPION,BOYS,NA,NA,NA
POCOMOKE,2005,FINALIST,BOYS,NA,NA,NA
POCOMOKE,2005,SEMIFINALIST,GIRLS,NA,NA,NA
RIVER HILL,2005,SEMIFINALIST,GIRLS,NA,NA,NA
SOUTH RIVER,2005,FINALIST,GIRLS,NA,NA,NA
SOUTHSIDE ACADEMY,2005,CHAMPION,GIRLS,NA,NA,NA
SPRINGBROOK,2005,SEMIFINALIST,GIRLS,NA,NA,NA
WALKERSVILLE,2005,SEMIFINALIST,BOYS,NA,NA,NA
WESTLAKE,2005,SEMIFINALIST,GIRLS,NA,NA,NA
WINTERS MILL,2005,SEMIFINALIST,GIRLS,NA,NA,NA
POTOMAC,2005,CHAMPION,BOYS,83-74,Rico Reed,2A
ELEANOR ROOSEVELT,2005,CHAMPION,GIRLS,54-37,Roderick Hairston,4A
SOUTHSIDE,2005,CHAMPION,GIRLS,2--0,Dafne Lee-Blakney,1A
DUNBAR,2005,CHAMPION,BOYS,69-56,Eric Lee,1A
LONG REACH,2006,CHAMPION,BOYS,54-49,"Al Moraz, Sr.",3A
CATOCTIN,2006,CHAMPION,GIRLS,61-45,Amy Murray,1A
WALT WHITMAN,2006,CHAMPION,BOYS,39-38,Chris Lun,4A
RANDALLSTOWN,2006,CHAMPION,BOYS,64-54,Kim Rivers,2A
ALLEGANY,2006,FINALIST,BOYS,NA,NA,NA
ARUNDEL,2006,SEMIFINALIST,GIRLS,NA,NA,NA
ATHOLTON,2006,SEMIFINALIST,GIRLS,NA,NA,NA
CAMBRIDGE/SD,2006,SEMIFINALIST,BOYS,NA,NA,NA
ELEANOR ROOSEVELT,2006,FINALIST,BOYS,NA,NA,NA
GWYNN PARK,2006,SEMIFINALIST,GIRLS,NA,NA,NA
HENRY E. LACKEY,2006,FINALIST,BOYS,NA,NA,NA
LEONARDTOWN,2006,FINALIST,GIRLS,NA,NA,NA
MERGENTHALER,2006,SEMIFINALIST,BOYS,NA,NA,NA
MILFORD MILL,2006,FINALIST,GIRLS,NA,NA,NA
NEW TOWN,2006,SEMIFINALIST,BOYS,NA,NA,NA
NEW TOWN,2006,SEMIFINALIST,GIRLS,NA,NA,NA
OLD MILL,2006,FINALIST,BOYS,NA,NA,NA
PAUL LAURENCE DUNBAR,2006,CHAMPION,BOYS,NA,NA,NA
POCOMOKE,2006,SEMIFINALIST,GIRLS,NA,NA,NA
POTOMAC,2006,SEMIFINALIST,BOYS,NA,NA,NA
RIVER HILL,2006,CHAMPION,GIRLS,NA,NA,NA
SENECA VALLEY,2006,SEMIFINALIST,BOYS,NA,NA,NA
SOUTHERN (AA),2006,SEMIFINALIST,GIRLS,NA,NA,NA
SOUTHSIDE ACADEMY,2006,SEMIFINALIST,GIRLS,NA,NA,NA
SOUTHWESTERN,2006,SEMIFINALIST,BOYS,NA,NA,NA
SPRINGBROOK,2006,SEMIFINALIST,GIRLS,NA,NA,NA
URBANA,2006,SEMIFINALIST,GIRLS,NA,NA,NA
WESTERN (B),2006,FINALIST,GIRLS,NA,NA,NA
WICOMICO,2006,FINALIST,BOYS,NA,NA,NA
WINTERS MILL,2006,SEMIFINALIST,BOYS,NA,NA,NA
ELEANOR ROOSEVELT,2006,CHAMPION,GIRLS,53-45,Roderick Hairston,4A
MIDDLETOWN,2006,CHAMPION,GIRLS,57-51,William Miskell,2A
DUNBAR,2006,CHAMPION,BOYS,68-47,Eric Lee,1A
SHERWOOD,2007,CHAMPION,BOYS,61-38,Dondrell Whitmore,4A
RANDALLSTOWN,2007,CHAMPION,BOYS,66-63,Kim Rivers,2A
RIVER HILL,2007,CHAMPION,BOYS,60-51,Matthew Graves,3A
ATHOLTON,2007,CHAMPION,GIRLS,69-62,Maureen Shacreaw,2A
NEW TOWN,2007,CHAMPION,BOYS,74-69 (OT),Mike Smith,1A
BALTIMORE POLYTECHNIC,2007,SEMIFINALIST,GIRLS,NA,NA,NA
BETHESDA-CHEVY CHASE,2007,FINALIST,BOYS,NA,NA,NA
COL. ZADOK MAGRUDER,2007,FINALIST,BOYS,NA,NA,NA
ELEANOR ROOSEVELT,2007,SEMIFINALIST,BOYS,NA,NA,NA
FAIRMONT HEIGHTS,2007,FINALIST,BOYS,NA,NA,NA
FALLSTON,2007,SEMIFINALIST,GIRLS,NA,NA,NA
FORT HILL,2007,SEMIFINALIST,BOYS,NA,NA,NA
FREDERICK,2007,SEMIFINALIST,BOYS,NA,NA,NA
JAMES H. BLAKE,2007,FINALIST,GIRLS,NA,NA,NA
LARGO,2007,CHAMPION,GIRLS,NA,NA,NA
LARGO,2007,SEMIFINALIST,BOYS,NA,NA,NA
MERGENTHALER,2007,SEMIFINALIST,BOYS,NA,NA,NA
NEW TOWN,2007,SEMIFINALIST,GIRLS,NA,NA,NA
OLD MILL,2007,SEMIFINALIST,GIRLS,NA,NA,NA
PAINT BRANCH,2007,SEMIFINALIST,GIRLS,NA,NA,NA
PAUL LAURENCE DUNBAR,2007,FINALIST,BOYS,NA,NA,NA
POCOMOKE,2007,FINALIST,GIRLS,NA,NA,NA
SNOW HILL,2007,SEMIFINALIST,BOYS,NA,NA,NA
SOUTHERN (AA),2007,FINALIST,GIRLS,NA,NA,NA
SOUTHERN (G),2007,CHAMPION,GIRLS,NA,NA,NA
SURRATTSVILLE,2007,SEMIFINALIST,GIRLS,NA,NA,NA
WALKERSVILLE,2007,SEMIFINALIST,GIRLS,NA,NA,NA
