SCHOOL,YEAR,FINAL STANDING,GENDER,FINAL SCORE,COACH,CLASS
HENRY E. LACKEY,1968,FINALIST,BOYS,NA,NA,NA
HEREFORD,1968,SEMIFINALIST,BOYS,NA,NA,NA
JAMES M. BENNETT,1968,SEMIFINALIST,BOYS,NA,NA,NA
MOUNT SAVAGE,1968,SEMIFINALIST,BOYS,NA,NA,NA
NORTHERN (G),1968,SEMIFINALIST,BOYS,NA,NA,NA
NORTHWESTERN (PG),1968,CHAMPION,BOYS,NA,NA,NA
SOMERSET,1968,SEMIFINALIST,BOYS,NA,NA,NA
WALT WHITMAN,1968,FINALIST,BOYS,NA,NA,NA
GWYNN PARK,1968,CHAMPION,BOYS,87-72,Tim Carney,C
NORTHWESTERN-PG,1968,CHAMPION,BOYS,71-63,William Longsworth,AA
MONTGOMERY BLAIR,1969,CHAMPION,BOYS,56-51,Edward Clements,AA
FAIRMONT HEIGHTS,1969,CHAMPION,BOYS,82-55,Ken Freeman,B
GWYNN PARK,1969,CHAMPION,BOYS,85-59,Larry Gandee,C
ANNAPOLIS,1969,SEMIFINALIST,BOYS,NA,NA,NA
CATONSVILLE,1969,SEMIFINALIST,BOYS,NA,NA,NA
CENTRAL (PG),1969,CHAMPION,BOYS,NA,NA,NA
DUNDALK,1969,SEMIFINALIST,BOYS,NA,NA,NA
DUVAL,1969,FINALIST,BOYS,NA,NA,NA
FREDERICK,1969,FINALIST,BOYS,NA,NA,NA
HAVRE DE GRACE,1969,SEMIFINALIST,BOYS,NA,NA,NA
MACE'S LANE,1969,SEMIFINALIST,BOYS,NA,NA,NA
MOUNT SAVAGE,1969,SEMIFINALIST,BOYS,NA,NA,NA
VALLEY,1969,SEMIFINALIST,BOYS,NA,NA,NA
WINSTON CHURCHILL,1969,SEMIFINALIST,BOYS,NA,NA,NA
CENTRAL-PG,1969,CHAMPION,BOYS,47-44,Robert O'Brien,A
DUVAL,1970,CHAMPION,BOYS,68-65 OT,Bob Tucker,AA
FAIRMONT HEIGHTS,1970,CHAMPION,BOYS,91-52,Ken Freeman,A
GWYNN PARK,1970,CHAMPION,BOYS,60-50,Larry Gandee,C
ARUNDEL,1970,SEMIFINALIST,BOYS,NA,NA,NA
BETHESDA-CHEVY CHASE,1970,FINALIST,BOYS,NA,NA,NA
BRUNSWICK,1970,SEMIFINALIST,BOYS,NA,NA,NA
CRISFIELD,1970,SEMIFINALIST,BOYS,NA,NA,NA
DUNDALK,1970,SEMIFINALIST,BOYS,NA,NA,NA
FREDERICK,1970,FINALIST,BOYS,NA,NA,NA
HAVRE DE GRACE,1970,SEMIFINALIST,BOYS,NA,NA,NA
LANSDOWNE,1970,FINALIST,BOYS,NA,NA,NA
MOUNT SAVAGE,1970,FINALIST,BOYS,NA,NA,NA
NORTH HAGERSTOWN,1970,SEMIFINALIST,BOYS,NA,NA,NA
SHERWOOD,1970,SEMIFINALIST,BOYS,NA,NA,NA
SOUTHERN (AA),1970,SEMIFINALIST,BOYS,NA,NA,NA
